id,0
t_00004da3a1b2,False
t_000095e03056,True
t_00068291e9a4,True
t_00069b63a70a,True
t_0006d41a73a8,False
t_0008768bdee6,False
t_0008a1bd84ba,True
t_000c0c854f0b,True
t_000d1fb3f2f5,True
t_000feba42136,False
t_00102869fbcb,True
t_0010852b7049,True
t_001139e52dbe,True
t_0012a45fa09c,True
t_001394e54503,False
t_001477394250,True
t_0014be0167f3,True
t_0014d6945f7e,True
t_001558da4876,False
t_0015856edda8,True
t_00165488ad43,True
t_0016d30772f3,True
t_0016fa92caf4,True
t_00181801a645,True
t_001a1575f24a,True
t_001bc7125ae7,True
t_001bcbb22694,True
t_001bd01717d7,True
t_001bd0fea51b,True
t_001c75b83927,True
t_001d98bfb0c6,False
t_001edc523bd1,True
t_0020bde404c1,True
t_0021d8020514,True
t_002336d97c88,True
t_0024d6e12b7e,False
t_00250c0c6e1a,True
t_00253e2bc084,True
t_00260f878951,True
t_00269d6e7e45,False
t_0028be2658cd,False
t_0028ead4dc26,True
t_002b9fb8c28c,False
t_002d0f889027,True
t_002d1624e059,True
t_002dfcaaf1d7,True
t_002eec45174c,True
t_002f3fc3c840,True
t_002f563fc457,True
t_002ff3ee9cb1,True
t_00328b0a7ccd,False
t_0032c51bd677,True
t_00332f7ec0db,False
t_00342d98cbde,True
t_00343e5ddd67,False
t_00349858758d,True
t_00365ac4da76,True
t_003761386023,True
t_00388edc1aff,False
t_003964cfca42,True
t_003b7d9295f2,True
t_003bb2871126,False
t_003c1782b8c2,False
t_003cf02b4682,True
t_003e944a4758,True
t_003f1d619141,True
t_0041bde29702,False
t_0043301d4771,True
t_00437f5d7ce1,True
t_0043f466e217,False
t_0045860ed294,False
t_00459f9ca137,True
t_0046c8eb939b,True
t_0047bec0c181,True
t_0048851c9d8d,True
t_0048cbabfa58,False
t_0048d860a6ed,True
t_0049727d7f38,False
t_004c82e65ed6,True
t_004cf359c0bd,True
t_004d7894cbd4,True
t_004ec7f36178,True
t_004f6c5be071,True
t_00531bf01fb6,True
t_00535b89fd1d,True
t_005386225b10,True
t_00542cbda9c2,True
t_0056370cfdaf,False
t_0056f5694509,True
t_00585d771647,True
t_0059abb8afd9,True
t_0059e82958bd,True
t_005af63f14e8,True
t_005b0b383f3f,True
t_005db937bae8,True
t_005dd3c69dc4,False
t_005dd69acb26,False
t_005e4df86333,True
t_005e5769654a,True
t_005f462ff2b3,True
t_006038bb5e62,True
t_0062b3cbe9a6,True
t_0062c913962f,True
t_0063126c08a8,True
t_006447405435,True
t_00652ed15b57,True
t_006550527831,True
t_0065df081747,True
t_006659422dd8,True
t_0066ce6cc9fe,True
t_00679db553c5,True
t_0067a1a6260a,False
t_0068535bb628,True
t_006950ea6eb3,True
t_00697daa2b18,True
t_0069e01367d0,True
t_006acec0347a,False
t_006b0c40d410,False
t_006c08bbf736,True
t_006c65a14e6c,False
t_006d7e494c71,True
t_006f59786f9b,True
t_00703e555d28,True
t_00707ed0d677,True
t_007239952dfd,True
t_00764f7c9394,False
t_007973177106,False
t_0079b3319fb5,False
